Date,Type,NHS Area Code,ONS Code,Name,Total
12-2020,SUB ICB,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,1941
12-2020,SUB ICB,07G,E38000185,NHS Mid and South Essex ICB - 07G,960
12-2020,SUB ICB,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,7064
12-2020,SUB ICB,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,2004
12-2020,SUB ICB,09D,E38000021,NHS Sussex ICB - 09D,1058
12-2020,SUB ICB,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",14635
12-2020,SUB ICB,10R,E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,5793
12-2020,SUB ICB,11J,E38000045,NHS Dorset ICB - 11J,12835
12-2020,SUB ICB,11M,E38000062,NHS Gloucestershire ICB - 11M,19492
12-2020,SUB ICB,11N,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,6415
12-2020,SUB ICB,11X,E38000150,NHS Somerset ICB - 11X,10055
12-2020,SUB ICB,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,11003
12-2020,SUB ICB,13T,E38000212,NHS North East and North Cumbria ICB - 13T,5721
12-2020,SUB ICB,14L,E38000217,NHS Greater Manchester ICB - 14L,2094
12-2020,SUB ICB,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",3743
12-2020,SUB ICB,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",7329
12-2020,SUB ICB,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",16625
12-2020,SUB ICB,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,19879
12-2020,SUB ICB,15F,E38000225,NHS West Yorkshire ICB - 15F,15936
12-2020,SUB ICB,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,8035
12-2020,SUB ICB,15N,E38000230,NHS Devon ICB - 15N,21894
12-2020,SUB ICB,16C,E38000247,NHS North East and North Cumbria ICB - 16C,9698
12-2020,SUB ICB,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,18283
12-2020,SUB ICB,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,11531
12-2020,SUB ICB,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,2323
12-2020,SUB ICB,36J,E38000232,NHS West Yorkshire ICB - 36J,9201
12-2020,SUB ICB,36L,E38000245,NHS South West London ICB - 36L,16776
12-2020,SUB ICB,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,9502
12-2020,SUB ICB,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,1
12-2020,SUB ICB,70F,E38000248,NHS Sussex ICB - 70F,10088
12-2020,SUB ICB,71E,E38000238,NHS Lincolnshire ICB - 71E,7636
12-2020,SUB ICB,72Q,E38000244,NHS South East London ICB - 72Q,11495
12-2020,SUB ICB,78H,E38000262,NHS Northamptonshire ICB - 78H,15205
12-2020,SUB ICB,84H,E38000234,NHS North East and North Cumbria ICB - 84H,12278
12-2020,SUB ICB,91Q,E38000237,NHS Kent and Medway ICB - 91Q,32913
12-2020,SUB ICB,92A,E38000246,NHS Surrey Heartlands ICB - 92A,9668
12-2020,SUB ICB,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",7996
12-2020,SUB ICB,93C,E38000240,NHS North Central London ICB - 93C,22731
12-2020,SUB ICB,97R,E38000235,NHS Sussex ICB - 97R,8618
12-2020,SUB ICB,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,6903
12-2020,SUB ICB,99C,E38000127,NHS North East and North Cumbria ICB - 99C,5865
12-2020,SUB ICB,99E,E38000007,NHS Mid and South Essex ICB - 99E,6120
12-2020,SUB ICB,99F,E38000030,NHS Mid and South Essex ICB - 99F,3282
12-2020,SUB ICB,99G,E38000168,NHS Mid and South Essex ICB - 99G,2134
12-2020,SUB ICB,A3A8R,E38000255,NHS North East London ICB - A3A8R,16583
12-2020,SUB ICB,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,12226
12-2020,SUB ICB,D2P2L,E38000259,NHS Black Country ICB - D2P2L,15902
12-2020,SUB ICB,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,7806
12-2020,SUB ICB,D9Y0V,E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,38977
12-2020,SUB ICB,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",6359
12-2020,SUB ICB,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",3196
12-2020,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,40202
12-2020,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,23945
12-2020,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,18283
12-2020,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,16766
12-2020,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",6359
12-2020,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,19879
12-2020,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,66142
12-2020,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,8035
12-2020,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,6000
12-2020,ICB,QJK,E54000037,NHS Devon Integrated Care Board,21894
12-2020,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,7636
12-2020,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",15042
12-2020,ICB,QKK,E54000030,NHS South East London Integrated Care Board,11495
12-2020,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,32913
12-2020,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,28617
12-2020,ICB,QMF,E54000029,NHS North East London Integrated Care Board,16583
12-2020,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,22731
12-2020,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,11531
12-2020,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,20767
12-2020,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,7806
12-2020,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,19764
12-2020,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",3196
12-2020,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,34547
12-2020,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,35924
12-2020,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",7996
12-2020,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,15205
12-2020,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,19492
12-2020,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,44770
12-2020,ICB,QRV,E54000027,NHS North West London Integrated Care Board,15583
12-2020,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,10055
12-2020,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,974
12-2020,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,6415
12-2020,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",25707
12-2020,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,15902
12-2020,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,3872
12-2020,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",16625
12-2020,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,12835
12-2020,ICB,QWE,E54000031,NHS South West London Integrated Care Board,16776
12-2020,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,39200
12-2020,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,12226
12-2020,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,9668
12-2020,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,29028
12-2020,SUB ICB,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,15583
12-2020,SUB ICB,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,4892
01-2021,National,ENG,ENG,England,5424692
01-2021,Region,Y56,E40000003,London,645075
01-2021,Region,Y58,E40000006,South West,628435
01-2021,Region,Y59,E40000005,South East,892492
01-2021,Region,Y60,E40000011,Midlands,1014824
01-2021,Region,Y61,E40000007,East of England,677187
01-2021,Region,Y62,E40000010,North West,733700
01-2021,Region,Y63,E40000012,North East and Yorkshire,832979
01-2021,SUB ICB,00L,E38000130,NHS North East and North Cumbria ICB - 00L,36497
01-2021,SUB ICB,00N,E38000163,NHS North East and North Cumbria ICB - 00N,13520
01-2021,SUB ICB,00P,E38000176,NHS North East and North Cumbria ICB - 00P,28184
01-2021,SUB ICB,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,11498
01-2021,SUB ICB,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,17760
01-2021,SUB ICB,00T,E38000016,NHS Greater Manchester ICB - 00T,33580
01-2021,SUB ICB,00V,E38000024,NHS Greater Manchester ICB - 00V,27453
01-2021,SUB ICB,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,19360
01-2021,SUB ICB,00Y,E38000135,NHS Greater Manchester ICB - 00Y,24116
01-2021,SUB ICB,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,31786
01-2021,SUB ICB,01D,E38000080,NHS Greater Manchester ICB - 01D,25561
01-2021,SUB ICB,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,18275
01-2021,SUB ICB,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,11566
01-2021,SUB ICB,01G,E38000143,NHS Greater Manchester ICB - 01G,25729
01-2021,SUB ICB,01H,E38000215,NHS North East and North Cumbria ICB - 01H,39440
01-2021,SUB ICB,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,14935
01-2021,SUB ICB,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,45143
01-2021,SUB ICB,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,15482
01-2021,SUB ICB,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,16048
01-2021,SUB ICB,01W,E38000174,NHS Greater Manchester ICB - 01W,36811
01-2021,SUB ICB,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,15542
01-2021,SUB ICB,01Y,E38000263,NHS Greater Manchester ICB - 01Y,21425
01-2021,SUB ICB,02A,E38000187,NHS Greater Manchester ICB - 02A,27516
01-2021,SUB ICB,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,19466
01-2021,SUB ICB,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,13999
01-2021,SUB ICB,02H,E38000205,NHS Greater Manchester ICB - 02H,26408
01-2021,SUB ICB,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,23900
01-2021,SUB ICB,02P,E38000006,NHS South Yorkshire ICB - 02P,31376
01-2021,SUB ICB,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,12900
01-2021,SUB ICB,02T,E38000025,NHS West Yorkshire ICB - 02T,14644
01-2021,SUB ICB,02X,E38000044,NHS South Yorkshire ICB - 02X,25874
01-2021,SUB ICB,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,37155
01-2021,SUB ICB,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,28875
01-2021,SUB ICB,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,21488
01-2021,SUB ICB,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,20502
01-2021,SUB ICB,03L,E38000141,NHS South Yorkshire ICB - 03L,32308
01-2021,SUB ICB,03N,E38000146,NHS South Yorkshire ICB - 03N,54774
01-2021,SUB ICB,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,30651
01-2021,SUB ICB,03R,E38000190,NHS West Yorkshire ICB - 03R,34946
01-2021,SUB ICB,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",38068
01-2021,SUB ICB,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",26238
01-2021,SUB ICB,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",29375
01-2021,SUB ICB,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,14075
01-2021,SUB ICB,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,17512
01-2021,SUB ICB,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,29890
01-2021,SUB ICB,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,15218
01-2021,SUB ICB,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,20569
01-2021,SUB ICB,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,23935
01-2021,SUB ICB,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,106028
01-2021,SUB ICB,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,51939
01-2021,SUB ICB,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,28922
01-2021,SUB ICB,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,59824
01-2021,SUB ICB,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,42952
01-2021,SUB ICB,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,29663
01-2021,SUB ICB,07G,E38000185,NHS Mid and South Essex ICB - 07G,12519
01-2021,SUB ICB,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,26649
01-2021,SUB ICB,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,54384
01-2021,SUB ICB,09D,E38000021,NHS Sussex ICB - 09D,18467
01-2021,SUB ICB,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",77132
01-2021,SUB ICB,10R,E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,18355
01-2021,SUB ICB,11J,E38000045,NHS Dorset ICB - 11J,106031
01-2021,SUB ICB,11M,E38000062,NHS Gloucestershire ICB - 11M,61748
01-2021,SUB ICB,11N,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,70118
01-2021,SUB ICB,11X,E38000150,NHS Somerset ICB - 11X,70905
01-2021,SUB ICB,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,39689
01-2021,SUB ICB,13T,E38000212,NHS North East and North Cumbria ICB - 13T,40909
01-2021,SUB ICB,14L,E38000217,NHS Greater Manchester ICB - 14L,37472
01-2021,SUB ICB,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",45248
01-2021,SUB ICB,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",45761
01-2021,SUB ICB,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",90011
01-2021,SUB ICB,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,118237
01-2021,SUB ICB,15F,E38000225,NHS West Yorkshire ICB - 15F,75758
01-2021,SUB ICB,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,126019
01-2021,SUB ICB,15N,E38000230,NHS Devon ICB - 15N,132207
01-2021,SUB ICB,16C,E38000247,NHS North East and North Cumbria ICB - 16C,57005
01-2021,SUB ICB,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,99129
01-2021,SUB ICB,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,126032
01-2021,SUB ICB,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,85774
01-2021,SUB ICB,36J,E38000232,NHS West Yorkshire ICB - 36J,47832
01-2021,SUB ICB,36L,E38000245,NHS South West London ICB - 36L,125481
01-2021,SUB ICB,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,50976
01-2021,SUB ICB,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,61837
01-2021,SUB ICB,70F,E38000248,NHS Sussex ICB - 70F,112350
01-2021,SUB ICB,71E,E38000238,NHS Lincolnshire ICB - 71E,86584
01-2021,SUB ICB,72Q,E38000244,NHS South East London ICB - 72Q,122704
01-2021,SUB ICB,78H,E38000262,NHS Northamptonshire ICB - 78H,64324
01-2021,SUB ICB,84H,E38000234,NHS North East and North Cumbria ICB - 84H,52715
01-2021,SUB ICB,91Q,E38000237,NHS Kent and Medway ICB - 91Q,177774
01-2021,SUB ICB,92A,E38000246,NHS Surrey Heartlands ICB - 92A,99546
01-2021,SUB ICB,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",97415
01-2021,SUB ICB,93C,E38000240,NHS North Central London ICB - 93C,114576
01-2021,SUB ICB,97R,E38000235,NHS Sussex ICB - 97R,55025
01-2021,SUB ICB,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,47406
01-2021,SUB ICB,99C,E38000127,NHS North East and North Cumbria ICB - 99C,21265
01-2021,SUB ICB,99E,E38000007,NHS Mid and South Essex ICB - 99E,23153
01-2021,SUB ICB,99F,E38000030,NHS Mid and South Essex ICB - 99F,19736
01-2021,SUB ICB,99G,E38000168,NHS Mid and South Essex ICB - 99G,23094
01-2021,SUB ICB,A3A8R,E38000255,NHS North East London ICB - A3A8R,115865
01-2021,SUB ICB,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,101551
01-2021,SUB ICB,D2P2L,E38000259,NHS Black Country ICB - D2P2L,106103
01-2021,SUB ICB,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,68733
01-2021,SUB ICB,D9Y0V,E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,174101
01-2021,SUB ICB,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",72292
01-2021,SUB ICB,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",23260
01-2021,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,181721
01-2021,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,144332
01-2021,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,99129
01-2021,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,121454
01-2021,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",72292
01-2021,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,118237
01-2021,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,289535
01-2021,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,126019
01-2021,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,112969
01-2021,ICB,QJK,E54000037,NHS Devon Integrated Care Board,132207
01-2021,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,86584
01-2021,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",93681
01-2021,ICB,QKK,E54000030,NHS South East London Integrated Care Board,122704
01-2021,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,177774
01-2021,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,138412
01-2021,ICB,QMF,E54000029,NHS North East London Integrated Care Board,115865
01-2021,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,114576
01-2021,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,126032
01-2021,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,121199
01-2021,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,68733
01-2021,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,185842
01-2021,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",23260
01-2021,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,286071
01-2021,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,189647
01-2021,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",97415
01-2021,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,64324
01-2021,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,61748
01-2021,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,192456
01-2021,ICB,QRV,E54000027,NHS North West London Integrated Care Board,166449
01-2021,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,70905
01-2021,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,74737
01-2021,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,70118
01-2021,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",168141
01-2021,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,106103
01-2021,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,106028
01-2021,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",90011
01-2021,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,106031
01-2021,ICB,QWE,E54000031,NHS South West London Integrated Care Board,125481
01-2021,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,209465
01-2021,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,101551
01-2021,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,99546
01-2021,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,265908
01-2021,SUB ICB,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,166449
01-2021,SUB ICB,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,36285
02-2021,National,ENG,ENG,England,6590178
02-2021,Region,Y56,E40000003,London,854763
02-2021,Region,Y58,E40000006,South West,789146
02-2021,Region,Y59,E40000005,South East,1066544
02-2021,Region,Y60,E40000011,Midlands,1303934
02-2021,Region,Y61,E40000007,East of England,726422
02-2021,Region,Y62,E40000010,North West,785186
02-2021,Region,Y63,E40000012,North East and Yorkshire,1064183
02-2021,SUB ICB,00L,E38000130,NHS North East and North Cumbria ICB - 00L,47392
02-2021,SUB ICB,00N,E38000163,NHS North East and North Cumbria ICB - 00N,25207
02-2021,SUB ICB,00P,E38000176,NHS North East and North Cumbria ICB - 00P,34987
02-2021,SUB ICB,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,12254
